,Datetime,Event,Value
0,2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),3
1,2000-01-01T11:04:00,Sleep-2-Peak Reaction Time (ms),323
2,2000-01-01T11:30:00,Diary Entry (text),Hearthstone
3,2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),2
4,2000-01-01T12:00:00,Diary Entry (text),Lunch
5,2000-01-01T12:02:00,Sleep-2-Peak Reaction Time (ms),286
6,2000-01-01T12:45:00,Diary Entry (text),Youtube
7,2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),2
8,2000-01-01T13:00:00,Sleep-2-Peak Reaction Time (ms),291
9,2000-01-01T13:50:00,Diary Entry (text),Armello
10,2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),2
11,2000-01-01T14:02:00,Sleep-2-Peak Reaction Time (ms),269
12,2000-01-01T14:30:00,Diary Entry (text),Youtube
13,2000-01-01T15:00:00,Diary Entry (text),Overwatch
14,2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),3
15,2000-01-01T15:01:00,Sleep-2-Peak Reaction Time (ms),299
16,2000-01-01T16:00:00,Diary Entry (text),Lunch
17,2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),2
18,2000-01-01T16:02:00,Sleep-2-Peak Reaction Time (ms),302
19,2000-01-01T17:00:00,Diary Entry (text),Overwatch
20,2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),2
21,2000-01-01T17:03:00,Sleep-2-Peak Reaction Time (ms),315
22,2000-01-01T17:17:00,Diary Entry (text),Kingdom
23,2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),2
24,2000-01-01T18:02:00,Sleep-2-Peak Reaction Time (ms),280
25,2000-01-01T18:53:00,Diary Entry (text),Bathroom
26,2000-01-01T19:00:00,Diary Entry (text),Hearthstone
27,2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),1
28,2000-01-01T19:01:00,Sleep-2-Peak Reaction Time (ms),299
